City,GMT,Local Start Time,GMT Start Time,Local end time,Continent,Total by Regions,Timezone prime
"Ho Chi Minh City, Vietnam",7,8:00am 4/20/13,1:00am 4/20/13,6:00pm 4/21/13,Asia,,
"Singapore, SIngapore",8,9:00am 4/20/13,1:00am 4/20/13,6:00pm 4/21/13,Asia,,
"Tokyo, Japan",9,10:00am 4/20/13,1:00am 4/20/13,6:00pm 4/21/13,Asia,,*
"Detroit, MI, USA",-4,9:00am 4/20/13,1:00pm 4/20/13,6:00pm 4/21/13,North America,,
"Kennedy Space Center, FL",-4,9:00am 4/20/13,1:00pm 4/20/13,6:00pm 4/21/13,North America,,
"New York City, NY, USA",-4,9:00am 4/20/13,1:00pm 4/20/13,6:00pm 4/21/13,North America,,
"Philadelphia, PA, USA",-4,9:00am 4/20/13,1:00pm 4/20/13,6:00pm 4/21/13,North America,,*
"Salisbury, MD, USA",-4,9:00am 4/20/13,1:00pm 4/20/13,6:00pm 4/21/13,North America,,*
"Santo Domingo, Dominican Republic",-4,9:00am 4/20/13,1:00pm 4/20/13,6:00pm 4/21/13,Latin America,,
"Louisville, KY, USA",-4,6:00pm 4/19/13,10:00pm 4/20/13,6:00pm 4/21/13,North America,,
"Rochester, NY, USA",-4,6:00pm 4/20/13,10:00pm 4/20/13,6:00pm 4/21/13,North America,,
"Toronto, Ontario, Canada",-4,6:00pm 4/19/13,10:00pm 4/20/13,6:00pm 4/21/13,North America,,
"Adelaide, Australia",9.5,8:00am 4/20/13,10:30pm 4/19/13,6:00pm 4/21/13,Australia,4,
"Atlanta, GA, USA",-4,6:30pm 4/19/13,10:30pm 4/20/13,6:00pm 4/21/13,North America,33,
"Recife, Brazil",-3,8:00am 4/20/13,11:00am 4/20/13,6:00pm 4/21/13,South America,,
"Brisbane, Australia",10,9:00am 4/20/13,11:00pm 4/19/13,6:00pm 4/21/13,Australia,,
"Canberra, Australia",10,9:00am 4/20/13,11:00pm 4/19/13,6:00pm 4/21/13,Australia,,*
"Melbourne, Australia",10,9:00am 4/20/13,11:00pm 4/19/13,6:00pm 4/21/13,Australia,,
"Kansas City, MO",-5,6:00pm 4/19/13,11:00pm 4/20/13,6:00pm 4/21/13,North America,,
